"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [fr]","Description [fr]","Part of Speech [fr]","Status [fr]","Type [fr]","Gender [fr]","Note [fr]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Term [pt-BR]","Description [pt-BR]","Part of Speech [pt-BR]","Status [pt-BR]","Type [pt-BR]","Gender [pt-BR]","Note [pt-BR]","Term [es-ES]","Description [es-ES]","Part of Speech [es-ES]","Status [es-ES]","Type [es-ES]","Gender [es-ES]","Note [es-ES]","Translatable"
"Delete Settings",,"noun","preferred",,,,"Supprimer les paramètres",,"noun","preferred",,,,"Einstellungen löschen",,"noun","preferred",,,,"Excluir configurações",,"noun","preferred",,,,"Eliminar configuración",,"noun","preferred",,,,"Yes"
"Delete SMTP Settings",,"noun","preferred",,,,"Supprimer les paramètres SMTP",,"noun","preferred",,,,"SMTP-Einstellungen löschen",,"noun","preferred",,,,"Excluir configurações SMTP",,"noun","preferred",,,,"Eliminar configuración SMTP",,"noun","preferred",,,,"Yes"
"Delete User",,"noun","preferred",,,,"Supprimer l'utilisateur",,"noun","preferred",,,,"Benutzer löschen",,"noun","preferred",,,,"Excluir usuário",,"noun","preferred",,,,"Eliminar usuario",,"noun","preferred",,,,"Yes"
"Deleted successfully",,"noun","preferred",,,,"Supprimé avec succès",,"noun","preferred",,,,"Erfolgreich gelöscht",,"noun","preferred",,,,"Excluído com sucesso",,"noun","preferred",,,,"Eliminado exitosamente",,"noun","preferred",,,,"Yes"
"Description",,"noun","preferred",,,,"Description",,"noun","preferred",,,,"Beschreibung",,"noun","preferred",,,,"Descrição",,"noun","preferred",,,,"Descripción",,"noun","preferred",,,,"Yes"
"Deselect All",,"noun","preferred",,,,"Tout désélectionner",,"noun","preferred",,,,"Alle abwählen",,"noun","preferred",,,,"Deselecionar todos",,"noun","preferred",,,,"Deseleccionar todo",,"noun","preferred",,,,"Yes"
"Details",,"noun","preferred",,,,"Détails",,"noun","preferred",,,,"Details",,"noun","preferred",,,,"Detalhes",,"noun","preferred",,,,"Detalles",,"noun","preferred",,,,"Yes"
"Details for",,"noun","preferred",,,,"Détails pour",,"noun","preferred",,,,"Details für",,"noun","preferred",,,,"Detalhes para",,"noun","preferred",,,,"Detalles para",,"noun","preferred",,,,"Yes"
"Details for backup",,"noun","preferred",,,,"Détails pour sauvegarde",,"noun","preferred",,,,"Details für Sicherung",,"noun","preferred",,,,"Detalhes para backup",,"noun","preferred",,,,"Detalles para backup",,"noun","preferred",,,,"Yes"
"Direct SSL/TLS",,"noun","preferred",,,,"SSL/TLS direct",,"noun","preferred",,,,"Direktes SSL/TLS",,"noun","preferred",,,,"SSL/TLS direto",,"noun","preferred",,,,"SSL/TLS directo",,"noun","preferred",,,,"Yes"
"Disable",,"verb","preferred",,,,"Désactiver",,"verb","preferred",,,,"Deaktivieren",,"verb","preferred",,,,"Desativar",,"verb","preferred",,,,"Desactivar",,"verb","preferred",,,,"Yes"
"Disable auto-refresh (Right-click for Display Settings)",,"noun","preferred",,,,"Désactiver l'actualisation automatique (Clic droit pour les paramètres d'affichage)",,"noun","preferred",,,,"Automatische Aktualisierung deaktivieren (Rechtsklick für Anzeigeeinstellungen)",,"noun","preferred",,,,"Desativar atualização automática (Clique com o botão direito para Configurações de exibição)",,"noun","preferred",,,,"Desactivar actualización automática (Clic derecho para Configuración de visualización)",,"noun","preferred",,,,"Yes"
"Disabled",,"noun","preferred",,,,"Désactivé",,"noun","preferred",,,,"Deaktiviert",,"noun","preferred",,,,"Desabilitado",,"noun","preferred",,,,"Deshabilitado",,"noun","preferred",,,,"Yes"
"Disk Space Low",,"noun","preferred",,,,"Espace disque faible",,"noun","preferred",,,,"Wenig Speicherplatz",,"noun","preferred",,,,"Pouco espaço em disco",,"noun","preferred",,,,"Poco espacio en disco",,"noun","preferred",,,,"Yes"
"Disk Usage",,"noun","preferred",,,,"Utilisation du disque",,"noun","preferred",,,,"Festplattennutzung",,"noun","preferred",,,,"Uso do Disco",,"noun","preferred",,,,"Uso del disco",,"noun","preferred",,,,"Yes"
"Dismiss",,"noun","preferred",,,,"Ignorer",,"noun","preferred",,,,"Verwerfen",,"noun","preferred",,,,"Descartar",,"noun","preferred",,,,"Descartar",,"noun","preferred",,,,"Yes"
"Dismiss All",,"noun","preferred",,,,"Ignorer tout",,"noun","preferred",,,,"Alle verwerfen",,"noun","preferred",,,,"Descartar todos",,"noun","preferred",,,,"Descartar todo",,"noun","preferred",,,,"Yes"
"Display Settings",,"noun","preferred",,,,"Paramètres d'affichage",,"noun","preferred",,,,"Anzeigeeinstellungen",,"noun","preferred",,,,"Configurações de exibição",,"noun","preferred",,,,"Configuración de pantalla",,"noun","preferred",,,,"Yes"
"Download",,"verb","preferred",,,,"Télécharger",,"verb","preferred",,,,"Herunterladen",,"verb","preferred",,,,"Baixar",,"verb","preferred",,,,"Descargar",,"verb","preferred",,,,"Yes"
"Download Backup",,"noun","preferred",,,,"Télécharger la sauvegarde",,"noun","preferred",,,,"Sicherung herunterladen",,"noun","preferred",,,,"Baixar backup",,"noun","preferred",,,,"Descargar backup",,"noun","preferred",,,,"Yes"
"Download backup monitoring data as CSV",,"noun","preferred",,,,"Télécharger les données de surveillance des sauvegardes au format CSV",,"noun","preferred",,,,"Sicherungs-Überwachungsdaten als CSV herunterladen",,"noun","preferred",,,,"Baixar dados de monitoramento de backups como CSV",,"noun","preferred",,,,"Descargar datos de monitoreo de backups como CSV",,"noun","preferred",,,,"Yes"
"Download collected JSON data",,"noun","preferred",,,,"Télécharger les données JSON collectées",,"noun","preferred",,,,"Gesammelte JSON-Daten herunterladen",,"noun","preferred",,,,"Baixar dados JSON coletados",,"noun","preferred",,,,"Descargar datos JSON recopilados",,"noun","preferred",,,,"Yes"
"Download CSV",,"noun","preferred",,,,"Télécharger CSV",,"noun","preferred",,,,"CSV herunterladen",,"noun","preferred",,,,"Baixar CSV",,"noun","preferred",,,,"Descargar CSV",,"noun","preferred",,,,"Yes"
"Download failed",,"noun","preferred",,,,"Échec du téléchargement",,"noun","preferred",,,,"Download fehlgeschlagen",,"noun","preferred",,,,"Download falhou",,"noun","preferred",,,,"Descarga fallida",,"noun","preferred",,,,"Yes"
"Download Log",,"noun","preferred",,,,"Télécharger le journal",,"noun","preferred",,,,"Log herunterladen",,"noun","preferred",,,,"Baixar log",,"noun","preferred",,,,"Descargar log",,"noun","preferred",,,,"Yes"
"Downloaded",,"noun","preferred",,,,"téléchargé",,"noun","preferred",,,,"heruntergeladen",,"noun","preferred",,,,"baixado",,"noun","preferred",,,,"descargado",,"noun","preferred",,,,"Yes"
"Downloaded successfully",,"noun","preferred",,,,"Téléchargé avec succès",,"noun","preferred",,,,"Erfolgreich heruntergeladen",,"noun","preferred",,,,"Baixado com sucesso",,"noun","preferred",,,,"Descargado exitosamente",,"noun","preferred",,,,"Yes"
"Duplicate Servers",,"noun","preferred",,,,"Serveurs en double",,"noun","preferred",,,,"Doppelte Server",,"noun","preferred",,,,"Servidores duplicados",,"noun","preferred",,,,"Servidores duplicados",,"noun","preferred",,,,"Yes"
"Duplicate value",,"noun","preferred",,,,"Valeur en double",,"noun","preferred",,,,"Doppelter Wert",,"noun","preferred",,,,"Valor duplicado",,"noun","preferred",,,,"Valor duplicado",,"noun","preferred",,,,"Yes"
"Duplicati configuration",,"noun","preferred",,,,"Configuration Duplicati",,"noun","preferred",,,,"Duplicati-Konfiguration",,"noun","preferred",,,,"Configuração do Duplicati",,"noun","preferred",,,,"Configuración de Duplicati",,"noun","preferred",,,,"Yes"
"Duplicati server passwords (in Server Settings)",,"noun","preferred",,,,"Mots de passe du serveur Duplicati (dans les paramètres du serveur)",,"noun","preferred",,,,"Duplicati-Server-Passwörter (in Server-Einstellungen)",,"noun","preferred",,,,"Senhas do servidor Duplicati (em Configurações do servidor)",,"noun","preferred",,,,"Contraseñas del servidor Duplicati (en Configuración del servidor)",,"noun","preferred",,,,"Yes"
"duplistatus",,"noun","preferred",,,,"duplistatus",,"noun","preferred",,,,"duplistatus",,"noun","preferred",,,,"duplistatus",,"noun","preferred",,,,"duplistatus",,"noun","preferred",,,,"Yes"
"duplistatus-my-notification-topic",,"noun","preferred",,,,"duplistatus-mon-sujet-de-notification",,"noun","preferred",,,,"duplistatus-mein-benachrichtigungs-thema",,"noun","preferred",,,,"duplistatus-meu-topico-de-notificacao",,"noun","preferred",,,,"duplistatus-mi-tema-de-notificacion",,"noun","preferred",,,,"Yes"
"Duration",,"noun","preferred",,,,"Durée",,"noun","preferred",,,,"Dauer",,"noun","preferred",,,,"Duração",,"noun","preferred",,,,"Duración",,"noun","preferred",,,,"Yes"
"Edit",,"verb","preferred",,,,"Modifier",,"verb","preferred",,,,"Bearbeiten",,"verb","preferred",,,,"Editar",,"verb","preferred",,,,"Editar",,"verb","preferred",,,,"Yes"
"Edit Server",,"noun","preferred",,,,"Modifier le serveur",,"noun","preferred",,,,"Server bearbeiten",,"noun","preferred",,,,"Editar servidor",,"noun","preferred",,,,"Editar servidor",,"noun","preferred",,,,"Yes"
"Edit User",,"noun","preferred",,,,"Modifier l'utilisateur",,"noun","preferred",,,,"Benutzer bearbeiten",,"noun","preferred",,,,"Editar usuário",,"noun","preferred",,,,"Editar usuario",,"noun","preferred",,,,"Yes"
"Email",,"noun","preferred",,,,"E-mail",,"noun","preferred",,,,"E-Mail",,"noun","preferred",,,,"E-mail",,"noun","preferred",,,,"Correo electrónico",,"noun","preferred",,,,"Yes"
"Email Address",,"noun","preferred",,,,"Adresse e-mail",,"noun","preferred",,,,"E-Mail-Adresse",,"noun","preferred",,,,"Endereço de E-mail",,"noun","preferred",,,,"Dirección de correo electrónico",,"noun","preferred",,,,"Yes"
"Email address not found",,"noun","preferred",,,,"Adresse e-mail introuvable",,"noun","preferred",,,,"E-Mail-Adresse nicht gefunden",,"noun","preferred",,,,"Endereço de e-mail não encontrado",,"noun","preferred",,,,"Dirección de correo electrónico no encontrada",,"noun","preferred",,,,"Yes"
"Email Configuration",,"noun","preferred",,,,"Configuration e-mail",,"noun","preferred",,,,"E-Mail-Konfiguration",,"noun","preferred",,,,"Configuração de e-mail",,"noun","preferred",,,,"Configuración de correo electrónico",,"noun","preferred",,,,"Yes"
"Email Notifications",,"noun","preferred",,,,"Notifications par e-mail",,"noun","preferred",,,,"E-Mail-Benachrichtigungen",,"noun","preferred",,,,"Notificações por e-mail",,"noun","preferred",,,,"Notificaciones por correo electrónico",,"noun","preferred",,,,"Yes"
"Email Notifications (disabled)",,"noun","preferred",,,,"Notifications par e-mail (désactivées)",,"noun","preferred",,,,"E-Mail-Benachrichtigungen (deaktiviert)",,"noun","preferred",,,,"Notificações por e-mail (desativadas)",,"noun","preferred",,,,"Notificaciones por correo electrónico (desactivadas)",,"noun","preferred",,,,"Yes"
"Email notifications are disabled.",,"noun","preferred",,,,"Les notifications par e-mail sont désactivées.",,"noun","preferred",,,,"E-Mail-Benachrichtigungen sind deaktiviert.",,"noun","preferred",,,,"As notificações por e-mail estão desativadas.",,"noun","preferred",,,,"Las notificaciones por correo electrónico están desactivadas.",,"noun","preferred",,,,"Yes"
"Email password deleted successfully",,"noun","preferred",,,,"Mot de passe e-mail supprimé avec succès",,"noun","preferred",,,,"E-Mail-Passwort erfolgreich gelöscht",,"noun","preferred",,,,"Senha de e-mail excluída com sucesso",,"noun","preferred",,,,"Contraseña de correo electrónico eliminada exitosamente",,"noun","preferred",,,,"Yes"
"Email password updated successfully",,"noun","preferred",,,,"Mot de passe e-mail mis à jour avec succès",,"noun","preferred",,,,"E-Mail-Passwort erfolgreich aktualisiert",,"noun","preferred",,,,"Senha de e-mail atualizada com sucesso",,"noun","preferred",,,,"Contraseña de correo electrónico actualizada exitosamente",,"noun","preferred",,,,"Yes"
"Email Settings",,"noun","preferred",,,,"Paramètres e-mail",,"noun","preferred",,,,"E-Mail-Einstellungen",,"noun","preferred",,,,"Configurações de e-mail",,"noun","preferred",,,,"Configuración de correo electrónico",,"noun","preferred",,,,"Yes"
"Email verified successfully",,"noun","preferred",,,,"E-mail vérifié avec succès",,"noun","preferred",,,,"E-Mail erfolgreich verifiziert",,"noun","preferred",,,,"E-mail verificado com sucesso",,"noun","preferred",,,,"Correo electrónico verificado exitosamente",,"noun","preferred",,,,"Yes"
"Enable",,"verb","preferred",,,,"Activer",,"verb","preferred",,,,"Aktivieren",,"verb","preferred",,,,"Ativar",,"verb","preferred",,,,"Activar",,"verb","preferred",,,,"Yes"
"Enable auto-refresh (Right-click for Display Settings)",,"noun","preferred",,,,"Activer l'actualisation automatique (Clic droit pour les paramètres d'affichage)",,"noun","preferred",,,,"Automatische Aktualisierung aktivieren (Rechtsklick für Anzeigeeinstellungen)",,"noun","preferred",,,,"Ativar atualização automática (Clique com o botão direito para Configurações de exibição)",,"noun","preferred",,,,"Activar actualización automática (Clic derecho para Configuración de visualización)",,"noun","preferred",,,,"Yes"
"Enable auto-scroll",,"noun","preferred",,,,"Activer le défilement automatique",,"noun","preferred",,,,"Automatisches Scrollen aktivieren",,"noun","preferred",,,,"Habilitar rolagem automática",,"noun","preferred",,,,"Habilitar desplazamiento automático",,"noun","preferred",,,,"Yes"
"Enable compression for backups",,"noun","preferred",,,,"Activer la compression pour les sauvegardes",,"noun","preferred",,,,"Kompression für Sicherungen aktivieren",,"noun","preferred",,,,"Habilitar compactação para backups",,"noun","preferred",,,,"Habilitar compresión para backups",,"noun","preferred",,,,"Yes"
"Enable encryption for backups",,"noun","preferred",,,,"Activer le chiffrement pour les sauvegardes",,"noun","preferred",,,,"Verschlüsselung für Sicherungen aktivieren",,"noun","preferred",,,,"Habilitar criptografia para backups",,"noun","preferred",,,,"Habilitar cifrado para backups",,"noun","preferred",,,,"Yes"
"Enable or disable this server",,"noun","preferred",,,,"Activer ou désactiver ce serveur",,"noun","preferred",,,,"Diesen Server aktivieren oder deaktivieren",,"noun","preferred",,,,"Habilitar ou desabilitar este servidor",,"noun","preferred",,,,"Habilitar o deshabilitar este servidor",,"noun","preferred",,,,"Yes"
"Enabled",,"noun","preferred",,,,"Activé",,"noun","preferred",,,,"Aktiviert",,"noun","preferred",,,,"Habilitado",,"noun","preferred",,,,"Habilitado",,"noun","preferred",,,,"Yes"
"Encryption",,"noun","preferred",,,,"Chiffrement",,"noun","preferred",,,,"Verschlüsselung",,"noun","preferred",,,,"Criptografia",,"noun","preferred",,,,"Cifrado",,"noun","preferred",,,,"Yes"
"Encryption method for SMTP",,"noun","preferred",,,,"Méthode de chiffrement pour SMTP",,"noun","preferred",,,,"Verschlüsselungsmethode für SMTP",,"noun","preferred",,,,"Método de criptografia para SMTP",,"noun","preferred",,,,"Método de cifrado para SMTP",,"noun","preferred",,,,"Yes"
"End Date",,"noun","preferred",,,,"Date de fin",,"noun","preferred",,,,"Enddatum",,"noun","preferred",,,,"Data de término",,"noun","preferred",,,,"Fecha de fin",,"noun","preferred",,,,"Yes"
"End Time",,"noun","preferred",,,,"Heure de fin",,"noun","preferred",,,,"Endzeit",,"noun","preferred",,,,"Hora de término",,"noun","preferred",,,,"Hora de fin",,"noun","preferred",,,,"Yes"
"Enter 6-digit code",,"noun","preferred",,,,"Entrez le code à 6 chiffres",,"noun","preferred",,,,"6-stelligen Code eingeben",,"noun","preferred",,,,"Digite código de 6 dígitos",,"noun","preferred",,,,"Ingrese código de 6 dígitos",,"noun","preferred",,,,"Yes"
"Enter a new password for your account",,"noun","preferred",,,,"Entrez un nouveau mot de passe pour votre compte",,"noun","preferred",,,,"Geben Sie ein neues Passwort für Ihr Konto ein",,"noun","preferred",,,,"Digite uma nova senha para sua conta",,"noun","preferred",,,,"Ingrese una nueva contraseña para su cuenta",,"noun","preferred",,,,"Yes"
"Enter backup code",,"noun","preferred",,,,"Entrez le code de sauvegarde",,"noun","preferred",,,,"Backup-Code eingeben",,"noun","preferred",,,,"Digite código de backup",,"noun","preferred",,,,"Ingrese código de backup",,"noun","preferred",,,,"Yes"
"Enter Duplicati password",,"noun","preferred",,,,"Entrez le mot de passe Duplicati",,"noun","preferred",,,,"Duplicati-Passwort eingeben",,"noun","preferred",,,,"Digite a senha do Duplicati",,"noun","preferred",,,,"Ingrese la contraseña de Duplicati",,"noun","preferred",,,,"Yes"
"Enter new password",,"noun","preferred",,,,"Entrez le nouveau mot de passe",,"noun","preferred",,,,"Neues Passwort eingeben",,"noun","preferred",,,,"Digite a nova senha",,"noun","preferred",,,,"Ingrese la nueva contraseña",,"noun","preferred",,,,"Yes"
"Enter notification title",,"noun","preferred",,,,"Entrez le titre de la notification",,"noun","preferred",,,,"Benachrichtigungstitel eingeben",,"noun","preferred",,,,"Digite o título da notificação",,"noun","preferred",,,,"Ingrese el título de la notificación",,"noun","preferred",,,,"Yes"
"Enter password",,"noun","preferred",,,,"Entrer le mot de passe",,"noun","preferred",,,,"Passwort eingeben",,"noun","preferred",,,,"Digite a senha",,"noun","preferred",,,,"Ingresar contraseña",,"noun","preferred",,,,"Yes"
"Enter the verification code from your authenticator app",,"noun","preferred",,,,"Entrez le code de vérification de votre application d'authentification",,"noun","preferred",,,,"Geben Sie den Bestätigungscode von Ihrer Authenticator-App ein",,"noun","preferred",,,,"Digite o código de verificação do seu aplicativo autenticador",,"noun","preferred",,,,"Ingrese el código de verificación de su aplicación autenticadora",,"noun","preferred",,,,"Yes"
